State,Year,District,GDP,GrowthRate,GDP_score,Growth_score,DDI,Rank,Category
AndhraPradesh,2002,Guntur,8308.96,-8.629189315,0.04316519231563771,0.35606722228406146,0.1683260043030072,270.0,Low Development
AndhraPradesh,2002,Hyderabad,11572.47,9.384966133,0.060172938912421654,0.4297954283427922,0.2080219346845699,17.0,Low Development
AndhraPradesh,2002,Kadapa,4043.1,2.42515903,0.020933709679654744,0.40131037980969697,0.17308437773167165,187.0,Low Development
AndhraPradesh,2002,Karimnagar,6755.13,2.39746429,0.03506742430068424,0.4011970309766997,0.18151926697109041,86.0,Low Development
AndhraPradesh,2002,Khammam,5824.08,2.894940479,0.03021526743003402,0.4032330979506846,0.17942239963829426,102.0,Low Development
AndhraPradesh,2002,Krishna,9935.66,5.677712365,0.05164272153693271,0.41462240674274514,0.1968345956192577,31.0,Low Development
AndhraPradesh,2002,Kurnool,5459.11,-1.257811581,0.028313230275121597,0.3862367441402432,0.17148263582117027,211.0,Low Development
AndhraPradesh,2002,Mahabubnagar,4915.71,4.211530512,0.025481307130809983,0.40862162818337294,0.17873743555183516,110.0,Low Development
AndhraPradesh,2002,Medak,6414.96,-1.055924188,0.03329463207396271,0.3870630274125693,0.17480199020940537,157.0,Low Development
AndhraPradesh,2002,Nalgonda,5193.16,-2.648815438,0.026927234764945532,0.38054365354305003,0.16837380227618737,269.0,Low Development
AndhraPradesh,2002,Nellore,5499.76,5.96452153,0.028525077304595775,0.41579625723369334,0.18343354927623481,75.0,Low Development
AndhraPradesh,2002,Nizamabad,3621.97,1.568121591,0.01873899530025844,0.39780270313370525,0.1703644784336372,231.0,Low Development
AndhraPradesh,2002,Prakasam,5166.96,-1.638295685,0.026790693752098707,0.38467950153163133,0.16994621686391176,240.0,Low Development
AndhraPradesh,2002,Rangareddy,8807.38,6.400035759,0.04576270268293214,0.4175787267427364,0.19448911230685384,37.0,Low Development
AndhraPradesh,2002,Srikakulam,3410.17,2.220870003,0.01763520192159595,0.40047426714698175,0.17077082801175028,223.0,Low Development
AndhraPradesh,2002,Visakapatnam,11227.5,14.87508262,0.05837513153830833,0.4522653376765052,0.21593121399358706,12.0,Low Development
AndhraPradesh,2002,Vizianagaram,2978.88,-0.913403008,0.015387538813553703,0.3876463370746351,0.16429105811798628,311.0,Low Development
AndhraPradesh,2002,Warangal,4757.17,-3.858847115,0.0246550776584155,0.37559124458460774,0.1650295444288924,304.0,Low Development
AndhraPradesh,2003,Adilabad,4781.85,16.65068829,0.024783697207921594,0.4595325238121364,0.19868322784960754,72.0,Low Development
AndhraPradesh,2003,Anantapur,6083.64,6.192855123,0.03156796152524478,0.41673077932347047,0.18563308864453507,167.0,Low Development
AndhraPradesh,2003,Chittoor,7100.34,9.399594471,0.03686648243216715,0.4298552990995132,0.1940620090991056,91.0,Low Development
AndhraPradesh,2003,Godavari East,11955.33,10.95763401,0.06216820960625887,0.43623203213652023,0.21179373861836343,41.0,Low Development
AndhraPradesh,2003,Godavari West,9285.8,13.83521122,0.04825598326942747,0.44800935947785514,0.20815733375279855,45.0,Low Development
AndhraPradesh,2003,Guntur,9317.54,12.13846258,0.04842139593155565,0.44106491882833915,0.20547880509026906,53.0,Low Development
AndhraPradesh,2003,Hyderabad,12449.88,7.581873187,0.06474555151096867,0.4224157424813331,0.20781362789911445,48.0,Low Development
AndhraPradesh,2003,Kadapa,4450.84,10.08483589,0.023058642220806048,0.43265985025850845,0.18689912543588702,155.0,Low Development
AndhraPradesh,2003,Karimnagar,7611.4,12.67584784,0.03952986602092661,0.44326432536152766,0.20102364975716702,66.0,Low Development
AndhraPradesh,2003,Khammam,6473.74,11.15472315,0.033600963399731267,0.4370386771534239,0.19497604890120834,85.0,Low Development
AndhraPradesh,2003,Krishna,9658.97,-2.784817516,0.05020075463446752,0.37998702521483646,0.1821152628666151,203.0,Low Development
AndhraPradesh,2003,Kurnool,5945.7,8.913357672,0.03084908872707336,0.42786523262021064,0.18965554628432826,126.0,Low Development
AndhraPradesh,2003,Mahabubnagar,5131.12,4.382072986,0.026603913984906715,0.4093196231963023,0.17969019766946492,240.0,Low Development
AndhraPradesh,2003,Medak,7487.09,16.7129647,0.038882025818369796,0.45978740825578024,0.20724417879333398,49.0,Low Development
AndhraPradesh,2003,Nalgonda,5703.24,9.822150675,0.029585511094445842,0.4315847340968872,0.19038520029542239,114.0,Low Development
AndhraPradesh,2003,Nellore,5421.2,-1.428425968,0.0281156627256169,0.3855384548023039,0.1710847795562917,385.0,Low Development
AndhraPradesh,2003,Nizamabad,3614.71,-0.200443405,0.01870115988982837,0.3905643330180625,0.167446429141122,434.0,Low Development
AndhraPradesh,2003,Prakasam,5682.18,9.97143388,0.029475757135264388,0.4321957193263152,0.19056374201168472,112.0,Low Development
AndhraPradesh,2003,Rangareddy,9502.03,7.887135561,0.04938286354453697,0.4236651181335649,0.19909576538014814,69.0,Low Development
AndhraPradesh,2003,Srikakulam,3801.79,11.48388497,0.019676125259423173,0.4383858682866236,0.18716002247030336,152.0,Low Development
AndhraPradesh,2003,Visakapatnam,12770.07,13.73921176,0.06641421818667191,0.4476164535773349,0.21889511234293713,27.0,Low Development
AndhraPradesh,2003,Vizianagaram,3306.7,11.00480718,0.01709596915063179,0.4364251021479478,0.1848276223495582,176.0,Low Development
AndhraPradesh,2003,Warangal,5550.04,16.66684184,0.028787110973524717,0.45959863694557845,0.2011117213623462,65.0,Low Development
AndhraPradesh,2004,Adilabad,4542.8,-4.999111223,0.02353789075292032,0.37092437983157084,0.16249248638438052,433.0,Low Development
AndhraPradesh,2004,Anantapur,7878.57,29.50421129,0.040922219547731425,0.5121393304459633,0.22940906390702417,11.0,Low Development
AndhraPradesh,2004,Chittoor,7832.21,10.30753457,0.0406806149158391,0.4335713098168232,0.19783689287623274,77.0,Low Development
AndhraPradesh,2004,Godavari East,12686.67,6.117271543,0.06597958000073965,0.41642143139000876,0.2061563205564473,38.0,Low Development
AndhraPradesh,2004,Godavari West,10119.47,8.977901742,0.05260064533736686,0.4281293981264186,0.20281214645298756,51.0,Low Development
AndhraPradesh,2004,Guntur,9969.15,6.993369495,0.0518172543048808,0.4200071187967342,0.19909320010162215,71.0,Low Development
AndhraPradesh,2004,Hyderabad,12834.05,3.085732553,0.06674764925544824,0.4040139703810825,0.20165417770570193,54.0,Low Development
AndhraPradesh,2004,Kadapa,4967.97,11.61870568,0.02575365954803804,0.43893766152037017,0.19102726033697093,114.0,Low Development
AndhraPradesh,2004,Karimnagar,7100.96,-6.706256405,0.03686971355537192,0.36393738828961436,0.1676967834490689,372.0,Low Development
AndhraPradesh,2004,Khammam,6765.91,4.513156228,0.03512360415253495,0.409856119747857,0.18501661039066378,164.0,Low Development
AndhraPradesh,2004,Krishna,10985.36,13.73220954,0.05711322158217361,0.44758779494160156,0.2133030509259448,22.0,Low Development
AndhraPradesh,2004,Kurnool,6161.66,3.632204787,0.03197456190014207,0.40625056801620507,0.18168496434656728,200.0,Low Development
AndhraPradesh,2004,Mahabubnagar,5418.91,5.608717005,0.0281037284157154,0.4143400230287897,0.18259824626094512,193.0,Low Development
AndhraPradesh,2004,Medak,7695.43,2.782656546,0.039967787444954044,0.40277354307600816,0.1850900896973757,163.0,Low Development
AndhraPradesh,2004,Nalgonda,6344.8,11.2490444,0.03292899400291945,0.43742471448810727,0.1947272821969946,88.0,Low Development
AndhraPradesh,2004,Nellore,6133.54,13.13989523,0.03182801482833854,0.4451635751870161,0.1971622389718096,80.0,Low Development
AndhraPradesh,2004,Nizamabad,3750.23,3.749125103,0.01940742088452309,0.4067290986459303,0.174336091989086,283.0,Low Development
AndhraPradesh,2004,Prakasam,7160.47,26.01624729,0.03717984926813965,0.49786381643367655,0.22145343613435442,18.0,Low Development
AndhraPradesh,2004,Rangareddy,10144.84,6.764975484,0.05273286081431052,0.41907234942860055,0.19926865626002654,70.0,Low Development
AndhraPradesh,2004,Srikakulam,4168.16,9.636776361,0.02158545849899153,0.43082603543571263,0.18528168927368,161.0,Low Development
AndhraPradesh,2004,Visakapatnam,14428.53,12.98708621,0.07505726429987589,0.4445381595272748,0.22284962239083547,17.0,Low Development
AndhraPradesh,2004,Vizianagaram,3851.7,16.48168869,0.01993623067740733,0.45884084346283494,0.19549807579157838,85.0,Low Development
AndhraPradesh,2004,Warangal,5437.35,-2.030435817,0.028199828273612178,0.38307455321532247,0.1701497182502963,333.0,Low Development
AndhraPradesh,2005,Adilabad,5418.06,19.26697191,0.028099298650031444,0.4702404306246568,0.20495575143988162,73.0,Low Development
AndhraPradesh,2005,Anantapur,7178.59,-8.884607232,0.03727428144954364,0.3550218496675085,0.1643733087367296,622.0,Low Development
AndhraPradesh,2005,Chittoor,7656.74,-2.240363831,0.039766154933998175,0.38221536134710693,0.1767458374992417,364.0,Low Development
AndhraPradesh,2005,Godavari East,12929.6,1.914844478,0.06724560703321596,0.39922176807581733,0.2000360714502565,96.0,Low Development
AndhraPradesh,2005,Godavari West,9763.69,-3.515796776,0.05074650176673163,0.3769952785486378,0.1812460124794941,276.0,Low Development
AndhraPradesh,2005,Guntur,10733.34,7.665548216,0.05579982211432411,0.4227582070391577,0.20258317608425755,84.0,Low Development
AndhraPradesh,2005,Hyderabad,15090.42,17.58112209,0.07850669678053178,0.4633405965873729,0.23244025670326826,19.0,Low Development
AndhraPradesh,2005,Kadapa,5003.28,0.710753084,0.025937677226038854,0.3942936714649805,0.17328007492161554,451.0,Low Development
AndhraPradesh,2005,Karimnagar,9419.26,32.64769834,0.04895150859669988,0.5250049716709635,0.23937289382640534,12.0,Low Development
AndhraPradesh,2005,Khammam,7392.19,9.256404534,0.03838745550847805,0.4292692523536001,0.1947401742465269,132.0,Low Development
AndhraPradesh,2005,Krishna,12579.88,14.51495445,0.06542304508616284,0.45079140768839343,0.21957039012705507,32.0,Low Development
AndhraPradesh,2005,Kurnool,7636.36,23.93348546,0.03965994478736389,0.48933950377207197,0.21953176838124713,33.0,Low Development
AndhraPradesh,2005,Mahabubnagar,7221.72,33.26886772,0.0374990529718369,0.527547289248838,0.23351834748263733,17.0,Low Development
AndhraPradesh,2005,Medak,8355.8,8.581326839,0.0434092984622692,0.4265062992112068,0.19664809876184425,120.0,Low Development
AndhraPradesh,2005,Nalgonda,7618.2,20.06997857,0.039565304146398306,0.47352697051634995,0.213149970694379,45.0,Low Development
AndhraPradesh,2005,Nellore,6329.53,3.19538146,0.03284941456527934,0.4044627406402682,0.1814947449952749,269.0,Low Development
AndhraPradesh,2005,Nizamabad,4599.17,22.6370116,0.02383166239010259,0.48403330486778473,0.20791231938117544,58.0,Low Development
AndhraPradesh,2005,Prakasam,7535.17,5.232896723,0.03913259421141083,0.4128018684773687,0.188600303917794,180.0,Low Development
AndhraPradesh,2005,Rangareddy,12813.4,26.30460411,0.06664003200677317,0.49904400115589514,0.23960161966642196,11.0,Low Development
AndhraPradesh,2005,Srikakulam,4197.16,0.695750643,0.02173659168115023,0.39423226958218754,0.17073486284156517,510.0,Low Development
AndhraPradesh,2005,Visakapatnam,14643.93,1.492875574,0.07617981903908222,0.39749473677566594,0.2047057861337157,75.0,Low Development
AndhraPradesh,2005,Vizianagaram,3911.08,1.541656931,0.02024568889659987,0.39769438876329877,0.17122516884327946,499.0,Low Development
AndhraPradesh,2005,Warangal,6466.52,18.92778651,0.03356333644886279,0.468852215055212,0.20767888789140249,59.0,Low Development
AndhraPradesh,2006,Adilabad,6033.47,11.35849363,0.03130650112011023,0.43787266751070125,0.19393296767634666,168.0,Low Development
AndhraPradesh,2006,Anantapur,7511.7,4.640326304,0.039010280563643085,0.41037660052170716,0.1875568085468687,239.0,Low Development
AndhraPradesh,2006,Chittoor,8339.62,8.918678184,0.04332497656960274,0.4278870083735179,0.1971497892911688,146.0,Low Development
AndhraPradesh,2006,Godavari East,14363.72,11.09175845,0.07471950769519639,0.4367809756814106,0.21954409488968207,46.0,Low Development
AndhraPradesh,2006,Godavari West,10616.38,8.733276046,0.055190286356210955,0.427128195834476,0.203965450147517,90.0,Low Development
AndhraPradesh,2006,Guntur,11583.84,7.923908122,0.06023219354280594,0.4238156206071636,0.205665564368549,82.0,Low Development
AndhraPradesh,2006,Hyderabad,17098.74,13.3085759,0.08897303444925446,0.44585395022190377,0.23172540075831422,32.0,Low Development
AndhraPradesh,2006,Kadapa,8396.33,67.81651237,0.043620520113058586,0.6689436411872687,0.29374976854274265,9.0,Low Development
AndhraPradesh,2006,Karimnagar,10220.43,8.505657557,0.05312679727084073,0.4261966005172149,0.2023547185693904,101.0,Low Development
AndhraPradesh,2006,Khammam,8015.16,8.427407845,0.041634056835698895,0.425876340657849,0.19533097036455896,157.0,Low Development
AndhraPradesh,2006,Krishna,13802.59,9.719568072,0.07179518485020638,0.43116488475596987,0.2155430648125118,53.0,Low Development
AndhraPradesh,2006,Kurnool,7566.54,-0.914309959,0.039296078622594224,0.3876426251120951,0.1786346972183946,354.0,Low Development
AndhraPradesh,2006,Medak,9325.74,11.60798487,0.04846413014168328,0.4388937834661878,0.2046359914714851,87.0,Low Development
AndhraPradesh,2006,Nalgonda,8218.11,7.87469481,0.04269172853635779,0.42361420071720857,0.19506071740869813,159.0,Low Development
AndhraPradesh,2006,Nellore,7154.62,13.03556504,0.037149362057255914,0.44473657333457456,0.20018424656818337,121.0,Low Development
AndhraPradesh,2006,Nizamabad,4996.42,8.637428058,0.02590192641122476,0.4267359098774697,0.18623551979772274,250.0,Low Development
AndhraPradesh,2006,Prakasam,8491.15,12.68690686,0.04411467350382713,0.44330958763916933,0.203792639157964,92.0,Low Development
AndhraPradesh,2006,Rangareddy,14856.95,15.94853825,0.07728997043437347,0.4566587691705324,0.22903748992883705,33.0,Low Development
AndhraPradesh,2006,Srikakulam,4782.02,13.93466058,0.024784583161058384,0.4484163851043217,0.19423730393836372,165.0,Low Development
AndhraPradesh,2006,Visakapatnam,16164.37,10.38273196,0.08410357543499158,0.4338790771546261,0.2240137761228454,40.0,Low Development
AndhraPradesh,2006,Vizianagaram,4414.52,12.87214785,0.02286936093887488,0.44406774063283405,0.19134871281645857,190.0,Low Development
AndhraPradesh,2006,Warangal,6883.68,6.451074148,0.03573736121677047,0.4177876162947312,0.18855746324795478,222.0,Low Development
AndhraPradesh,2007,Adilabad,6637.72,10.01496651,0.03445554337250311,0.43237388936177334,0.1936228817682112,114.0,Low Development
AndhraPradesh,2007,Anantapur,9833.84,30.91364139,0.05111208772288448,0.5179078358381888,0.2378303869690062,17.0,Low Development
AndhraPradesh,2007,Chittoor,9282.08,11.30099453,0.048236596530198836,0.4376373356071197,0.2039968921609672,75.0,Low Development
AndhraPradesh,2007,Godavari East,15301.8,6.530898681,0.0796083013337975,0.4181143215701772,0.21501070942834938,40.0,Low Development
AndhraPradesh,2007,Godavari West,11997.23,13.00678762,0.062386570997032986,0.4446187933166479,0.21527945992487896,37.0,Low Development
AndhraPradesh,2007,Guntur,12497.11,7.88400047,0.06499169013832576,0.42365228685563305,0.20845592882524866,59.0,Low Development
AndhraPradesh,2007,Hyderabad,18895.41,10.50761635,0.09833636046267062,0.4343902030892289,0.23275789751329393,22.0,Low Development
AndhraPradesh,2007,Kadapa,10035.26,19.51959963,0.05216178584531224,0.47127438354296447,0.21980682492437315,31.0,Low Development
AndhraPradesh,2007,Karimnagar,10865.37,6.310302013,0.05648789501226939,0.4172114651114816,0.20077732305195428,85.0,Low Development
AndhraPradesh,2007,Khammam,8733.52,8.962516032,0.04537778210244106,0.42806642760301467,0.1984532403026705,95.0,Low Development
AndhraPradesh,2007,Krishna,15030.54,8.896518697,0.07819463281681928,0.42779631418425057,0.2180353053637918,34.0,Low Development
AndhraPradesh,2007,Kurnool,8960.6,18.42400886,0.04656120703363407,0.46679035750689674,0.21465286722293914,41.0,Low Development
AndhraPradesh,2007,Medak,10467.51,12.24321073,0.054414451982832845,0.44149363130446734,0.20924612371148665,54.0,Low Development
AndhraPradesh,2007,Nalgonda,9387.58,14.23040091,0.048786408623914104,0.44962678900324765,0.20912256077564753,55.0,Low Development
AndhraPradesh,2007,Nellore,7731.94,8.069191655,0.0401580589098028,0.4244102360077514,0.19385892974898228,113.0,Low Development
AndhraPradesh,2007,Nizamabad,5570.54,11.49062729,0.028893946498843796,0.43841346320550334,0.19270175318150765,117.0,Low Development
AndhraPradesh,2007,Prakasam,9020.04,6.228720491,0.046870977942169004,0.41687756884407323,0.1948736143029307,107.0,Low Development
AndhraPradesh,2007,Rangareddy,15827.34,6.531555938,0.08234714728385552,0.41811701158690706,0.21665509300507613,35.0,Low Development
AndhraPradesh,2007,Srikakulam,5223.95,9.241492089,0.02708769651248575,0.4292082188057897,0.18793590542980732,149.0,Low Development
AndhraPradesh,2007,Visakapatnam,17268.31,6.829465052,0.08985674664575966,0.41933629186941423,0.2216485647352215,29.0,Low Development
AndhraPradesh,2007,Vizianagaram,4690.93,6.261382891,0.024309868624408874,0.417011249280246,0.18139042088674376,195.0,Low Development
AndhraPradesh,2007,Warangal,7681.61,11.5916196,0.03989576466642186,0.43882680380665007,0.19946818032251315,90.0,Low Development
AndhraPradesh,2004,Adilabad,6527.41,,0.033880664016505656,,,,Low Development
AndhraPradesh,2004,Anantapur,9286.21,,0.04825811997993385,,,,Low Development
AndhraPradesh,2004,Chittoor,9048.39,,0.047018723656451725,,,,Low Development
AndhraPradesh,2004,Godavari East,17289.9,,0.08996926269413229,,,,Low Development
AndhraPradesh,2004,Godavari West,12704.42,,0.06607208393119886,,,,Low Development
AndhraPradesh,2004,Guntur,11878.6,,0.06176833205222312,,,,Low Development
AndhraPradesh,2004,Hyderabad,16932.79,,0.0881081878430739,,,,Low Development
AndhraPradesh,2004,Kadapa,6287.94,,0.0326326687361076,,,,Low Development
AndhraPradesh,2004,Karimnagar,9090.45,,0.04723791888547224,,,,Low Development
AndhraPradesh,2004,Khammam,8194.36,,0.04256795567165886,,,,Low Development
AndhraPradesh,2004,Krishna,14736.31,,0.07666125639659327,,,,Low Development
AndhraPradesh,2004,Kurnool,7994.95,,0.0415287326422014,,,,Low Development
AndhraPradesh,2004,Mahabubnagar,7107.02,,0.036901295178954054,,,,Low Development
AndhraPradesh,2004,Medak,8906.57,,0.04627963028080529,,,,Low Development
AndhraPradesh,2004,Nalgonda,7658.54,,0.0397755356142701,,,,Low Development
AndhraPradesh,2004,Nellore,7612.73,,0.03953679730134975,,,,Low Development
AndhraPradesh,2004,Nizamabad,4869.16,,0.025238712316000073,,,,Low Development
AndhraPradesh,2004,Prakasam,8507.54,,0.044200089809192,,,,Low Development
AndhraPradesh,2004,Rangareddy,13310.46,,0.06923045474897326,,,,Low Development
AndhraPradesh,2004,Srikakulam,5059.99,,0.02623322076949471,,,,Low Development
AndhraPradesh,2004,Visakapatnam,19371.01,,0.10081494465007328,,,,Low Development
AndhraPradesh,2004,Vizianagaram,4988.9,,0.025862736013644298,,,,Low Development
AndhraPradesh,2004,Warangal,7349.51,,0.03816502915625277,,,,Low Development
AndhraPradesh,2005,Adilabad,6813.28,4.379531851,0.03537047238835763,0.40930922285722204,0.1849459725759034,217.0,Low Development
