Year,District,GDP,GrowthRate,State
2001,Ghaziabad,6287.59,-1.67559588,Uttar Pradesh
2001,Ghazipur,2196.1,2.44437188,Uttar Pradesh
2001,Gonda,1917.86,13.96838602,Uttar Pradesh
2001,Gorakhpur,3279.48,6.266505513,Uttar Pradesh
2001,Hamirpur,1118.7,7.791181685,Uttar Pradesh
2001,Hardoi,2515.39,-1.910020785,Uttar Pradesh
2001,Hath Ras (Mahamaya Nagar),1910.74,-0.67938102,Uttar Pradesh
2001,Jalaun,1675.9,15.12199813,Uttar Pradesh
2001,Jaunpur,2636.96,-0.146544836,Uttar Pradesh
2001,Jhansi,2732.5,6.154019479,Uttar Pradesh
2001,Jyotiba Phule Nagar,2382.38,6.514595358,Uttar Pradesh
2001,Kannauj,1881.49,-12.63390556,Uttar Pradesh
2001,Kanpur: Rural,1790.06,0.69358114,Uttar Pradesh
2001,Kanpur: Urban,6468.42,6.870988261,Uttar Pradesh
2001,Kaushambi,1248.73,17.69923182,Uttar Pradesh
2001,Kheri,3482.31,3.313633694,Uttar Pradesh
2001,Kushi Nagar,2004.14,0.784495157,Uttar Pradesh
2001,Lalitpur,886.16,-0.111593304,Uttar Pradesh
2001,Lucknow,6395.19,-4.563504796,Uttar Pradesh
2001,Maharajganj,1546.46,-0.239972132,Uttar Pradesh
2001,Mahoba,873.04,9.347327814,Uttar Pradesh
2001,Mainpuri,1717.18,7.528726635,Uttar Pradesh
2001,Mathura,2952.66,1.68962667,Uttar Pradesh
2001,Mau,1694.24,0.405952388,Uttar Pradesh
2001,Meerut,5288.72,-0.637277742,Uttar Pradesh
2001,Mirzapur,1887.36,-1.547193039,Uttar Pradesh
2001,Moradabad,4680.21,10.11196567,Uttar Pradesh
2001,Muzaffarnagar,5351.55,4.787704815,Uttar Pradesh
2001,Pilibhit,1904.19,-8.137952993,Uttar Pradesh
2001,Pratapgarh,1706.0,4.030099213,Uttar Pradesh
2001,Rae Bareli,2214.81,7.294209976,Uttar Pradesh
2001,Rampur,2613.75,3.270682782,Uttar Pradesh
2001,Saharanpur,4332.6,-6.637877534,Uttar Pradesh
2001,Sant Kabeer Nagar,952.19,6.593603421,Uttar Pradesh
2001,Sant Ravidas Nagar,1317.0,9.521829522,Uttar Pradesh
2001,Shahjahanpur,2801.91,8.345836169,Uttar Pradesh
2001,Shravasti,638.31,-15.31879328,Uttar Pradesh
2001,Siddharth Nagar,1298.97,1.202932538,Uttar Pradesh
2001,Sitapur,3465.2,-5.130591907,Uttar Pradesh
2001,Sonbhadra,3453.58,5.201304972,Uttar Pradesh
2001,Sultanpur,2628.82,2.175011466,Uttar Pradesh
2001,Unnao,2389.52,10.22533847,Uttar Pradesh
2001,Varanasi,3043.34,-4.517873838,Uttar Pradesh
2002,Agra,5058.6,10.0190738,Uttar Pradesh
2002,Aligarh,4096.34,10.13591084,Uttar Pradesh
2002,Allahabad,5621.03,1.469412217,Uttar Pradesh
2002,Ambedkar Nagar,1427.04,-2.648938855,Uttar Pradesh
2002,Auraiyya,1173.62,5.383102714,Uttar Pradesh
2002,Azamgarh,2622.8,-5.625820845,Uttar Pradesh
2002,Badaun,3326.8,-4.222854313,Uttar Pradesh
2002,Bagpat,2023.61,5.196371481,Uttar Pradesh
2002,Bahraich,1628.9,-2.69588956,Uttar Pradesh
2002,Ballia,1827.41,-6.37692891,Uttar Pradesh
2002,Balrampur,1088.12,-8.729313281,Uttar Pradesh
2002,Banda,1327.09,0.580553724,Uttar Pradesh
2002,Barabanki,2614.7,-6.202468073,Uttar Pradesh
2002,Bareilly,4614.24,0.617542391,Uttar Pradesh
2002,Basti,1395.15,-2.961613098,Uttar Pradesh
2002,Bijnor,4665.5,2.918014127,Uttar Pradesh
2002,BulandShahar,5307.62,10.06772927,Uttar Pradesh
2002,Chandauli,1757.87,-0.977901455,Uttar Pradesh
